Source,Target,Freq
104,1,5
104,2,1
104,3,8
104,4,68
104,5,43
104,6,5
104,7,6
104,8,3
104,9,2
104,10,5
104,11,86
104,12,1
104,13,1
104,14,13
104,15,1
104,16,352
104,17,1
104,18,4
104,19,1
104,20,1
104,21,22
104,22,249
104,23,1
104,24,1
104,25,8
104,26,16
104,27,204
104,28,2
104,29,17
104,30,271
104,31,1
104,32,279
104,33,1
104,34,1
104,35,28
104,36,97
104,37,4
104,38,2
104,39,3
104,40,67
104,41,5
104,42,13
104,43,4
104,44,1
104,45,14
104,46,20
104,49,18
104,50,20
104,51,83
104,52,10
104,53,52
104,54,8
104,55,10
104,56,26
104,57,3
104,58,1
104,59,3
104,60,75
104,61,13
104,62,39
104,63,1
104,64,2
104,65,1
104,66,868
104,67,18
104,68,2
104,69,3
104,70,18
104,71,1
104,72,27
104,73,22
104,74,1
104,75,2
104,76,19
104,77,3
104,78,1
104,79,2
104,80,1
104,81,82
104,82,34
104,83,127
104,84,121
104,85,14
104,86,1
104,87,2
104,88,13
104,89,4
104,90,42
104,91,23
104,92,1
104,93,30
104,94,8
104,95,1
104,96,1
104,97,11
104,98,25
104,99,6
104,100,1
104,101,19
104,102,1
104,103,2
104,105,1
104,106,28
104,107,14
104,108,1
104,109,2
104,110,1
